2026-02-25 15:57:43 | INFO     | src.data.feature_engineer | 시계열 파생 변수 52개 생성 완료
2026-02-25 15:57:43 | INFO     | src.data.feature_engineer | 범주형 인코딩 완료: 6개 변수 (onehot)
2026-02-25 15:57:43 | INFO     | __main__ | External 데이터: 200명
2026-02-25 15:57:43 | INFO     | __main__ |   양성 (Grade 3+): 67 (33.5%)
2026-02-25 15:57:43 | INFO     | __main__ |   음성 (Grade <3): 133 (66.5%)
2026-02-25 15:57:43 | INFO     | src.evaluation.metrics | [xgboost_external] AUROC=1.0000, AUPRC=1.0000, Sens=1.0000, Spec=1.0000, Optimal Threshold=0.950
2026-02-25 15:57:44 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 1.0000 [1.0000 - 1.0000]
2026-02-25 15:57:44 | INFO     | __main__ |   xgboost                   | AUROC=1.0000 (1.0000-1.0000) | Sens=1.0000 | Spec=1.0000
2026-02-25 15:57:44 | INFO     | src.evaluation.metrics | [lightgbm_external] AUROC=1.0000, AUPRC=1.0000, Sens=1.0000, Spec=1.0000, Optimal Threshold=0.997
2026-02-25 15:57:44 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 1.0000 [1.0000 - 1.0000]
2026-02-25 15:57:44 | INFO     | __main__ |   lightgbm                  | AUROC=1.0000 (1.0000-1.0000) | Sens=1.0000 | Spec=1.0000
2026-02-25 15:57:44 | INFO     | src.evaluation.metrics | [logistic_regression_external] AUROC=0.9975, AUPRC=0.9953, Sens=0.9851, Spec=0.9624, Optimal Threshold=0.499
2026-02-25 15:57:44 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 0.9975 [0.9935 - 0.9998]
2026-02-25 15:57:44 | INFO     | __main__ |   logistic_regression       | AUROC=0.9975 (0.9935-0.9998) | Sens=0.9851 | Spec=0.9624
2026-02-25 15:57:44 | INFO     | src.data.feature_engineer | LSTM 시퀀스 생성: shape=(200, 3, 6) (환자=200, 시점=3, 변수=6)
2026-02-25 15:57:45 | INFO     | src.evaluation.metrics | [lstm_external] AUROC=0.5583, AUPRC=0.3474, Sens=0.0000, Spec=1.0000, Optimal Threshold=0.008
2026-02-25 15:57:45 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 0.5583 [0.4783 - 0.6383]
2026-02-25 15:57:45 | INFO     | __main__ |   lstm                      | AUROC=0.5583 (0.4783-0.6383) | Sens=0.0000 | Spec=1.0000
2026-02-25 15:57:45 | INFO     | __main__ | 
============================================================
2026-02-25 15:57:45 | INFO     | __main__ | External Validation 결과 요약
2026-02-25 15:57:45 | INFO     | __main__ | ============================================================
2026-02-25 15:57:45 | INFO     | __main__ | 모델                             |    AUROC |    AUPRC |   Sens |   Spec |    PPV |    NPV
2026-02-25 15:57:45 | INFO     | __main__ | ------------------------------------------------------------------------------------------
2026-02-25 15:57:45 | INFO     | __main__ | lightgbm_external              |   1.0000 |   1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
2026-02-25 15:57:45 | INFO     | __main__ | logistic_regression_external   |   0.9975 |   0.9953 | 0.9851 | 0.9624 | 0.9296 | 0.9922
2026-02-25 15:57:45 | INFO     | __main__ | lstm_external                  |   0.5583 |   0.3474 | 0.0000 | 1.0000 | 0.0000 | 0.6650
2026-02-25 15:57:45 | INFO     | __main__ | xgboost_external               |   1.0000 |   1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
2026-02-25 15:57:45 | INFO     | src.evaluation.visualization | ROC 곡선 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/figures/roc_external_validation.png
2026-02-25 15:57:45 | INFO     | src.utils.helpers | 결과 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/logs/external_validation_results.json
2026-02-25 15:57:45 | INFO     | __main__ | 
============================================================
2026-02-25 15:57:45 | INFO     | __main__ | External Validation 완료!
2026-02-25 15:57:45 | INFO     | __main__ | ============================================================
