2026-02-25 15:44:48 | INFO     | src.models.baseline_models | XGBoost 학습 완료 - Val AUC: 1.0000
2026-02-25 15:44:48 | INFO     | src.evaluation.metrics | [xgboost_baseline_cbc] AUROC=1.0000, AUPRC=1.0000, Sens=1.0000, Spec=0.9412, Optimal Threshold=0.941
2026-02-25 15:44:48 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 1.0000 [1.0000 - 1.0000]
2026-02-25 15:44:48 | INFO     | src.evaluation.visualization | 특성 중요도 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/figures/feature_importance_xgboost_baseline_cbc.png
2026-02-25 15:44:48 | INFO     | src.models.baseline_models | 모델 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/models/xgboost_baseline_cbc.pkl
2026-02-25 15:44:48 | INFO     | main | 
--- lightgbm (baseline_cbc) ---
2026-02-25 15:44:48 | INFO     | src.models.baseline_models | LightGBM 학습 완료 - Val AUC: 1.0000
2026-02-25 15:44:48 | INFO     | src.evaluation.metrics | [lightgbm_baseline_cbc] AUROC=0.9804, AUPRC=0.9167, Sens=1.0000, Spec=0.8824, Optimal Threshold=0.782
2026-02-25 15:44:49 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 0.9804 [0.8947 - 1.0000]
2026-02-25 15:44:49 | INFO     | src.evaluation.visualization | 특성 중요도 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/figures/feature_importance_lightgbm_baseline_cbc.png
2026-02-25 15:44:49 | INFO     | src.models.baseline_models | 모델 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/models/lightgbm_baseline_cbc.pkl
2026-02-25 15:44:49 | INFO     | main | 
--- logistic_regression (baseline_cbc) ---
2026-02-25 15:44:49 | INFO     | src.models.baseline_models | Logistic Regression 학습 완료 - Val AUC: 0.9231
2026-02-25 15:44:49 | INFO     | src.evaluation.metrics | [logistic_regression_baseline_cbc] AUROC=0.8627, AUPRC=0.4667, Sens=0.3333, Spec=0.8235, Optimal Threshold=0.355
2026-02-25 15:44:49 | INFO     | src.evaluation.metrics | Bootstrap CI (95%): 0.8627 [0.6667 - 1.0000]
2026-02-25 15:44:49 | INFO     | src.models.baseline_models | 모델 저장: /Users/hwangsang-ik/Desktop/ccrt_hematologic_toxicity/outputs/models/logistic_regression_baseline_cbc.pkl
2026-02-25 15:44:49 | INFO     | main | 
--- LSTM (baseline_cbc) ---
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: WBC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: ANC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: ALC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: AMC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: PLT_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: Hb_week0
2026-02-25 15:44:49 | INFO     | src.data.feature_engineer | LSTM 시퀀스 생성: shape=(65, 3, 6) (환자=65, 시점=3, 변수=6)
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: WBC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: ANC_week0
2026-02-25 15:44:49 | WARNING  | src.data.feature_engineer | LSTM 시퀀스 컬럼 누락: ALC_week0
